2020-01-02 14.08.36[INFO][init(const char*)::<lambda(const std::experimental::filesystem::v1::__cxx11::path&, std::experimental::filesystem::v1::file_status)>]"topic_cache/test_topicxxx"
2020-01-02 14.08.36[INFO][Storage_t* get_db(const char*, unsigned int)]test_topicxxx
2020-01-02 14.08.36[INFO][Storage_t* get_db(const char*, unsigned int)]topic_cache/test_topicxxx
2020-01-02 14.08.36[INFO][int opdb::cursor_(std::map<std::__cxx11::basic_string<char>, std::__cxx11::basic_string<char> >&)]key:test_topicxxx00000000000000000026,val:xxxxxxxxxxxxxxxxxxxxxxxxxxx
2020-01-02 14.08.36[INFO][int opdb::cursor_(std::map<std::__cxx11::basic_string<char>, std::__cxx11::basic_string<char> >&)]key:test_topicxxx00000000000000000027,val:xxxxxxxxxxxxxxxxxxxxxxxxxxx
2020-01-02 14.08.36[INFO][int opdb::cursor_(std::map<std::__cxx11::basic_string<char>, std::__cxx11::basic_string<char> >&)]key:test_topicxxx00000000000000000028,val:xxxxxxxxxxxxxxxxxxxxxxxxxxx
2020-01-02 14.08.36[INFO][int opdb::cursor_(std::map<std::__cxx11::basic_string<char>, std::__cxx11::basic_string<char> >&)]key:test_topicxxx00000000000000000029,val:xxxxxxxxxxxxxxxxxxxxxxxxxxx
2020-01-02 14.08.36[INFO][int opdb::cursor_(std::map<std::__cxx11::basic_string<char>, std::__cxx11::basic_string<char> >&)]key:test_topicxxx00000000000000000030,val:xxxxxxxxxxxxxxxxxxxxxxxxxxx
2020-01-02 14.08.36[INFO][int opdb::cursor_(std::map<std::__cxx11::basic_string<char>, std::__cxx11::basic_string<char> >&)]key:test_topicxxx00000000000000000031,val:xxxxxxxxxxxxxxxxxxxxxxxxxxx
2020-01-02 14.08.36[INFO][int opdb::cursor_(std::map<std::__cxx11::basic_string<char>, std::__cxx11::basic_string<char> >&)]key:test_topicxxx00000000000000000032,val:xxxxxxxxxxxxxxxxxxxxxxxxxxx
2020-01-02 14.08.36[INFO][int opdb::cursor_(std::map<std::__cxx11::basic_string<char>, std::__cxx11::basic_string<char> >&)]key:test_topicxxx00000000000000000033,val:xxxxxxxxxxxxxxxxxxxxxxxxxxx
2020-01-02 14.08.36[INFO][int opdb::cursor_(std::map<std::__cxx11::basic_string<char>, std::__cxx11::basic_string<char> >&)]key:test_topicxxx00000000000000000034,val:xxxxxxxxxxxxxxxxxxxxxxxxxxx
2020-01-02 14.08.36[INFO][int opdb::cursor_(std::map<std::__cxx11::basic_string<char>, std::__cxx11::basic_string<char> >&)]key:test_topicxxx00000000000000000035,val:xxxxxxxxxxxxxxxxxxxxxxxxxxx
2020-01-02 14.08.36[INFO][int opdb::cursor_(std::map<std::__cxx11::basic_string<char>, std::__cxx11::basic_string<char> >&)]key:test_topicxxx00000000000000000036,val:xxxxxxxxxxxxxxxxxxxxxxxxxxx
2020-01-02 14.08.36[INFO][int opdb::cursor_(std::map<std::__cxx11::basic_string<char>, std::__cxx11::basic_string<char> >&)]key:test_topicxxx00000000000000000037,val:xxxxxxxxxxxxxxxxxxxxxxxxxxx
2020-01-02 14.08.36[INFO][int opdb::cursor_(std::map<std::__cxx11::basic_string<char>, std::__cxx11::basic_string<char> >&)]key:test_topicxxx00000000000000000038,val:xxxxxxxxxxxxxxxxxxxxxxxxxxx
2020-01-02 14.08.36[INFO][int opdb::cursor_(std::map<std::__cxx11::basic_string<char>, std::__cxx11::basic_string<char> >&)]key:test_topicxxx00000000000000000039,val:xxxxxxxxxxxxxxxxxxxxxxxxxxx
2020-01-02 14.08.36[INFO][int opdb::cursor_(std::map<std::__cxx11::basic_string<char>, std::__cxx11::basic_string<char> >&)]key:test_topicxxx00000000000000000040,val:xxxxxxxxxxxxxxxxxxxxxxxxxxx
2020-01-02 14.08.36[INFO][int opdb::cursor_(std::map<std::__cxx11::basic_string<char>, std::__cxx11::basic_string<char> >&)]key:test_topicxxx00000000000000000041,val:xxxxxxxxxxxxxxxxxxxxxxxxxxx
2020-01-02 14.08.36[INFO][int opdb::cursor_(std::map<std::__cxx11::basic_string<char>, std::__cxx11::basic_string<char> >&)]key:test_topicxxx00000000000000000042,val:xxxxxxxxxxxxxxxxxxxxxxxxxxx
2020-01-02 14.08.36[INFO][int opdb::cursor_(std::map<std::__cxx11::basic_string<char>, std::__cxx11::basic_string<char> >&)]key:test_topicxxx00000000000000000043,val:xxxxxxxxxxxxxxxxxxxxxxxxxxx
2020-01-02 14.08.36[INFO][int opdb::cursor_(std::map<std::__cxx11::basic_string<char>, std::__cxx11::basic_string<char> >&)]key:test_topicxxx00000000000000000044,val:xxxxxxxxxxxxxxxxxxxxxxxxxxx
2020-01-02 14.08.36[INFO][int opdb::cursor_(std::map<std::__cxx11::basic_string<char>, std::__cxx11::basic_string<char> >&)]key:test_topicxxx00000000000000000045,val:xxxxxxxxxxxxxxxxxxxxxxxxxxx
2020-01-02 14.08.36[INFO][int opdb::cursor_(std::map<std::__cxx11::basic_string<char>, std::__cxx11::basic_string<char> >&)]key:test_topicxxx00000000000000000046,val:xxxxxxxxxxxxxxxxxxxxxxxxxxx
2020-01-02 14.08.36[INFO][int opdb::cursor_(std::map<std::__cxx11::basic_string<char>, std::__cxx11::basic_string<char> >&)]key:test_topicxxx00000000000000000047,val:xxxxxxxxxxxxxxxxxxxxxxxxxxx
2020-01-02 14.08.36[INFO][int opdb::cursor_(std::map<std::__cxx11::basic_string<char>, std::__cxx11::basic_string<char> >&)]key:test_topicxxx00000000000000000048,val:xxxxxxxxxxxxxxxxxxxxxxxxxxx
2020-01-02 14.08.36[INFO][int opdb::cursor_(std::map<std::__cxx11::basic_string<char>, std::__cxx11::basic_string<char> >&)]key:test_topicxxx00000000000000000049,val:xxxxxxxxxxxxxxxxxxxxxxxxxxx
2020-01-02 14.08.36[INFO][int opdb::cursor_(std::map<std::__cxx11::basic_string<char>, std::__cxx11::basic_string<char> >&)]key:test_topicxxx00000000000000000050,val:xxxxxxxxxxxxxxxxxxxxxxxxxxx
2020-01-02 14.08.36[INFO][int opdb::cursor_(std::map<std::__cxx11::basic_string<char>, std::__cxx11::basic_string<char> >&)]key:test_topicxxx00000000000000000051,val:xxxxxxxxxxxxxxxxxxxxxxxxxxx
2020-01-02 14.08.36[INFO][int opdb::cursor_(std::map<std::__cxx11::basic_string<char>, std::__cxx11::basic_string<char> >&)]key:test_topicxxx00000000000000000052,val:xxxxxxxxxxxxxxxxxxxxxxxxxxx
2020-01-02 14.08.36[INFO][int opdb::cursor_(std::map<std::__cxx11::basic_string<char>, std::__cxx11::basic_string<char> >&)]key:test_topicxxx00000000000000000053,val:xxxxxxxxxxxxxxxxxxxxxxxxxxx
2020-01-02 14.08.36[INFO][int opdb::cursor_(std::map<std::__cxx11::basic_string<char>, std::__cxx11::basic_string<char> >&)]key:test_topicxxx00000000000000000054,val:xxxxxxxxxxxxxxxxxxxxxxxxxxx
2020-01-02 14.08.36[INFO][int opdb::cursor_(std::map<std::__cxx11::basic_string<char>, std::__cxx11::basic_string<char> >&)]key:test_topicxxx00000000000000000055,val:xxxxxxxxxxxxxxxxxxxxxxxxxxx
2020-01-02 14.08.36[INFO][int opdb::cursor_(std::map<std::__cxx11::basic_string<char>, std::__cxx11::basic_string<char> >&)]key:test_topicxxx00000000000000000056,val:xxxxxxxxxxxxxxxxxxxxxxxxxxx
2020-01-02 14.08.36[INFO][int opdb::cursor_(std::map<std::__cxx11::basic_string<char>, std::__cxx11::basic_string<char> >&)]key:test_topicxxx00000000000000000057,val:xxxxxxxxxxxxxxxxxxxxxxxxxxx
2020-01-02 14.08.36[INFO][int opdb::cursor_(std::map<std::__cxx11::basic_string<char>, std::__cxx11::basic_string<char> >&)]key:test_topicxxx00000000000000000058,val:xxxxxxxxxxxxxxxxxxxxxxxxxxx
2020-01-02 14.08.36[INFO][int opdb::cursor_(std::map<std::__cxx11::basic_string<char>, std::__cxx11::basic_string<char> >&)]key:test_topicxxx00000000000000000059,val:xxxxxxxxxxxxxxxxxxxxxxxxxxx
2020-01-02 14.08.36[INFO][int opdb::cursor_(std::map<std::__cxx11::basic_string<char>, std::__cxx11::basic_string<char> >&)]key:test_topicxxx00000000000000000060,val:xxxxxxxxxxxxxxxxxxxxxxxxxxx
2020-01-02 14.08.36[INFO][int opdb::cursor_(std::map<std::__cxx11::basic_string<char>, std::__cxx11::basic_string<char> >&)]key:test_topicxxx00000000000000000061,val:xxxxxxxxxxxxxxxxxxxxxxxxxxx
2020-01-02 14.08.36[INFO][int opdb::cursor_(std::map<std::__cxx11::basic_string<char>, std::__cxx11::basic_string<char> >&)]key:test_topicxxx00000000000000000062,val:xxxxxxxxxxxxxxxxxxxxxxxxxxx
2020-01-02 14.08.36[INFO][int opdb::cursor_(std::map<std::__cxx11::basic_string<char>, std::__cxx11::basic_string<char> >&)]key:test_topicxxx00000000000000000063,val:xxxxxxxxxxxxxxxxxxxxxxxxxxx
2020-01-02 14.08.36[INFO][int opdb::cursor_(std::map<std::__cxx11::basic_string<char>, std::__cxx11::basic_string<char> >&)]key:test_topicxxx00000000000000000064,val:xxxxxxxxxxxxxxxxxxxxxxxxxxx
2020-01-02 14.08.36[INFO][int opdb::cursor_(std::map<std::__cxx11::basic_string<char>, std::__cxx11::basic_string<char> >&)]key:test_topicxxx00000000000000000065,val:xxxxxxxxxxxxxxxxxxxxxxxxxxx
2020-01-02 14.08.36[INFO][int opdb::cursor_(std::map<std::__cxx11::basic_string<char>, std::__cxx11::basic_string<char> >&)]key:test_topicxxx00000000000000000066,val:xxxxxxxxxxxxxxxxxxxxxxxxxxx
2020-01-02 14.08.36[INFO][int opdb::cursor_(std::map<std::__cxx11::basic_string<char>, std::__cxx11::basic_string<char> >&)]key:test_topicxxx00000000000000000067,val:xxxxxxxxxxxxxxxxxxxxxxxxxxx
2020-01-02 14.08.36[INFO][int opdb::cursor_(std::map<std::__cxx11::basic_string<char>, std::__cxx11::basic_string<char> >&)]key:test_topicxxx00000000000000000068,val:xxxxxxxxxxxxxxxxxxxxxxxxxxx
2020-01-02 14.08.36[INFO][int opdb::cursor_(std::map<std::__cxx11::basic_string<char>, std::__cxx11::basic_string<char> >&)]key:test_topicxxx00000000000000000069,val:xxxxxxxxxxxxxxxxxxxxxxxxxxx
2020-01-02 14.08.36[INFO][int opdb::cursor_(std::map<std::__cxx11::basic_string<char>, std::__cxx11::basic_string<char> >&)]key:test_topicxxx00000000000000000070,val:xxxxxxxxxxxxxxxxxxxxxxxxxxx
2020-01-02 14.08.36[INFO][int opdb::cursor_(std::map<std::__cxx11::basic_string<char>, std::__cxx11::basic_string<char> >&)]key:test_topicxxx00000000000000000071,val:xxxxxxxxxxxxxxxxxxxxxxxxxxx
